time,open,high,low,close,volume
1779279740,1.1,1.10029,1.09986,1.09991,550.79
1779280640,1.09991,1.09996,1.09967,1.09976,1349.07
1779281540,1.09976,1.10016,1.09909,1.09919,1393.32
1779282440,1.09919,1.10014,1.09907,1.0996,1147.11
1779283340,1.0996,1.1,1.09931,1.09991,666.03
1779284240,1.09991,1.10014,1.09765,1.098,1262.8
1779285140,1.098,1.09908,1.09796,1.0987,911.83
1779286040,1.0987,1.09936,1.09846,1.09923,1143.55
1779286940,1.09923,1.09941,1.09885,1.09894,1700.73
1779287840,1.09894,1.1001,1.09875,1.09957,1250.75
1779288740,1.09957,1.09977,1.09823,1.09859,566.9
1779289640,1.09859,1.09885,1.09823,1.09843,1696.42
1779290540,1.09843,1.09873,1.09779,1.09813,829.95
1779291440,1.09813,1.09823,1.09708,1.09771,675.26
1779292340,1.09771,1.09858,1.09762,1.09858,1050.39
1779293240,1.09858,1.09916,1.09827,1.09882,1114.31
1779294140,1.09882,1.10034,1.09828,1.10021,1034.54
1779295040,1.10021,1.1007,1.09992,1.1002,1206.67
1779295940,1.1002,1.10087,1.09997,1.10067,999.31
1779296840,1.10067,1.10117,1.10029,1.10046,890.72
1779297740,1.10046,1.10118,1.10013,1.10073,1000.95
1779298640,1.10073,1.10238,1.10068,1.10187,1096.94
1779299540,1.10187,1.10302,1.10125,1.10278,1213.72
1779300440,1.10278,1.10285,1.10185,1.10192,1606.08
1779301340,1.10192,1.10207,1.10075,1.10085,1247.19
1779302240,1.10085,1.10102,1.09992,1.10012,1147.5
1779303140,1.10012,1.10059,1.09963,1.10031,1182.78
1779304040,1.10031,1.10074,1.10027,1.10062,1444.83
1779304940,1.10062,1.10185,1.09995,1.10165,1089.83
1779305840,1.10165,1.10265,1.10128,1.10242,1155.47
1779306740,1.10242,1.10291,1.10214,1.10289,1156.88
1779307640,1.10289,1.10371,1.10263,1.10333,1114.27
1779308540,1.10333,1.1036,1.10188,1.102,969.94
1779309440,1.102,1.10414,1.10186,1.10396,852.75
1779310340,1.10396,1.10404,1.10306,1.10388,1600.74
1779311240,1.10388,1.104,1.10193,1.1032,739.08
1779312140,1.1032,1.10402,1.10267,1.10373,922.9
1779313040,1.10373,1.10511,1.1029,1.10492,989.48
1779313940,1.10492,1.10567,1.10437,1.10554,747.03
1779314840,1.10554,1.10634,1.10504,1.10614,766.67
1779315740,1.10614,1.10628,1.10406,1.10426,1456.6
1779316640,1.10426,1.10457,1.10372,1.10401,1458.2
1779317540,1.10401,1.10692,1.10375,1.10691,1092.28
1779318440,1.10691,1.10892,1.10673,1.1083,1128.5
1779319340,1.1083,1.10916,1.10631,1.10635,969.04
1779320240,1.10635,1.10724,1.10521,1.10535,1111.02
1779321140,1.10535,1.10595,1.1052,1.10526,801.75
1779322040,1.10526,1.10532,1.10335,1.10345,891.32
1779322940,1.10345,1.10501,1.10324,1.10499,822.57
1779323840,1.10499,1.10501,1.10418,1.10497,1283.04
1779324740,1.10497,1.10613,1.10483,1.10565,1125.62
1779325640,1.10565,1.1071,1.1054,1.10625,877.78
1779326540,1.10625,1.10754,1.10575,1.10666,1231.79
1779327440,1.10666,1.10927,1.10632,1.10835,425.11
