time,open,high,low,close,volume
1779279740,1950.0,1950.99741,1949.97041,1950.62511,1072.02
1779280640,1950.62511,1952.32511,1949.48074,1951.57918,969.56
1779281540,1951.57918,1952.19137,1949.79082,1951.05996,1256.75
1779282440,1951.05996,1951.7315,1950.73194,1951.59648,963.44
1779283340,1951.59648,1953.1655,1949.95222,1953.00505,1095.2
1779284240,1953.00505,1953.23597,1952.34255,1952.9601,509.64
1779285140,1952.9601,1954.06506,1952.03654,1952.38983,779.98
1779286040,1952.38983,1952.85965,1950.79761,1950.87902,1328.99
1779286940,1950.87902,1951.9712,1949.25564,1949.36961,924.17
1779287840,1949.36961,1951.76521,1948.84283,1951.65848,700.69
1779288740,1951.65848,1952.19107,1950.95535,1951.87405,1483.08
1779289640,1951.87405,1951.95799,1951.27079,1951.51119,892.87
1779290540,1951.51119,1953.24522,1951.25095,1952.44906,1415.76
1779291440,1952.44906,1953.40695,1951.83926,1952.13005,859.95
1779292340,1952.13005,1953.77191,1951.49567,1951.51462,1109.54
1779293240,1951.51462,1952.01602,1949.57282,1950.12736,1019.01
1779294140,1950.12736,1950.59748,1946.56603,1947.02683,1100.96
1779295040,1947.02683,1948.69643,1946.14768,1948.36366,462.52
1779295940,1948.36366,1949.06909,1947.06173,1948.49816,883.19
1779296840,1948.49816,1948.60246,1947.83516,1947.93717,1306.51
1779297740,1947.93717,1948.489,1947.11161,1947.87412,789.36
1779298640,1947.87412,1947.90975,1943.07849,1944.52658,1314.92
1779299540,1944.52658,1945.6757,1943.30816,1944.96986,885.06
1779300440,1944.96986,1946.50888,1944.96304,1945.36794,969.78
1779301340,1945.36794,1945.90433,1945.31668,1945.51601,1049.28
1779302240,1945.51601,1945.52565,1943.16199,1943.30255,1146.79
1779303140,1943.30255,1944.35177,1941.81324,1942.25886,1362.33
1779304040,1942.25886,1942.45061,1942.14962,1942.323,856.37
1779304940,1942.323,1942.88197,1939.14261,1939.52976,920.58
1779305840,1939.52976,1942.57965,1939.52304,1941.63888,1240.4
1779306740,1941.63888,1942.40062,1939.03953,1939.28854,844.4
1779307640,1939.28854,1940.99807,1939.00967,1940.45763,555.34
1779308540,1940.45763,1941.03504,1938.94916,1939.14441,770.39
1779309440,1939.14441,1939.28175,1936.69074,1936.79452,1077.53
1779310340,1936.79452,1937.96966,1936.01889,1937.84267,887.33
1779311240,1937.84267,1938.30743,1936.571,1937.33279,662.0
1779312140,1937.33279,1938.6965,1937.2477,1938.17432,1000.58
1779313040,1938.17432,1939.27159,1935.79218,1936.42856,1374.97
1779313940,1936.42856,1937.61799,1936.14719,1936.77929,959.47
1779314840,1936.77929,1938.34233,1935.74023,1936.42823,945.68
1779315740,1936.42823,1938.84978,1935.16906,1938.70932,798.4
1779316640,1938.70932,1939.17671,1937.35918,1938.04382,752.84
1779317540,1938.04382,1940.26643,1937.82023,1940.15303,887.57
1779318440,1940.15303,1940.85501,1937.67754,1938.70222,1185.42
1779319340,1938.70222,1939.3162,1934.68799,1936.63106,613.67
1779320240,1936.63106,1936.88862,1933.09194,1933.23943,1222.33
1779321140,1933.23943,1934.55814,1932.50684,1933.74227,1183.58
1779322040,1933.74227,1933.84972,1933.43575,1933.66373,713.91
1779322940,1933.66373,1934.88406,1933.04324,1934.08022,1139.24
1779323840,1934.08022,1934.87591,1932.22968,1933.04881,906.65
1779324740,1933.04881,1934.0015,1932.12622,1932.97077,355.65
1779325640,1932.97077,1933.78279,1931.76064,1932.32884,817.12
1779326540,1932.32884,1932.35923,1930.20507,1931.13813,872.94
1779327440,1931.13813,1931.46499,1930.33272,1931.42747,949.89
1779328340,1931.42747,1933.06655,1930.92343,1932.25136,755.5
